Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Jul 2025,KEN,16617000,Others,Lamu county,current,2025-07-01,2025-09-30,4,0,0
Jul 2025,KEN,16617000,Others,Lamu county,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,Lamu county,first projection,2025-10-01,2026-01-31,all,167000,1.0
Jul 2025,KEN,16617000,Others,Lamu county,first projection,2025-10-01,2026-01-31,3+,25050,0.15
Jul 2025,KEN,16617000,Others,Lamu county,first projection,2025-10-01,2026-01-31,1,33400,0.2
Jul 2025,KEN,16617000,Others,Lamu county,first projection,2025-10-01,2026-01-31,2,108550,0.65
Jul 2025,KEN,16617000,Others,Lamu county,first projection,2025-10-01,2026-01-31,3,25050,0.15
Jul 2025,KEN,16617000,Others,Lamu county,first projection,2025-10-01,2026-01-31,4,0,0
Jul 2025,KEN,16617000,Others,Lamu county,first projection,2025-10-01,2026-01-31,5,0,0
Jul 2025,KEN,16617000,Others,Turkana,current,2025-07-01,2025-09-30,all,1023000,1.0
Jul 2025,KEN,16617000,Others,Turkana,current,2025-07-01,2025-09-30,3+,204600,0.2
Jul 2025,KEN,16617000,Others,Turkana,current,2025-07-01,2025-09-30,1,255750,0.25
Jul 2025,KEN,16617000,Others,Turkana,current,2025-07-01,2025-09-30,2,562650,0.55
